Translation File,API Name,Error
CaseType-es_CL.standardValueSetTranslation,Distributor,Value commented/not found in translation file.
CaseType-es_CL.standardValueSetTranslation,Dealer,Value commented/not found in translation file.
CaseType-es_CL.standardValueSetTranslation,Hughes Direct Dealer,Value commented/not found in translation file.
CaseType-es_CL.standardValueSetTranslation,Problem,Value commented/not found in translation file.
CaseType-es_CL.standardValueSetTranslation,Feature Request,Value commented/not found in translation file.
CaseType-es_CL.standardValueSetTranslation,Question,Value commented/not found in translation file.
CaseType-es_CL.standardValueSetTranslation,SP Truck Roll,Value commented/not found in translation file.
CaseType-es_CL.standardValueSetTranslation,NAP Truck Roll,Value commented/not found in translation file.
CaseType-es_CL.standardValueSetTranslation,Set Up,Value commented/not found in translation file.
CaseType-es_CL.standardValueSetTranslation,Education,Value commented/not found in translation file.
CaseType-es_CL.standardValueSetTranslation,Approvals,Value commented/not found in translation file.
CaseType-es_CL.standardValueSetTranslation,Forms,Value commented/not found in translation file.
