Translation File,API Name,Error
CaseType-es_EC.standardValueSetTranslation,Distributor,Value commented/not found in translation file.
CaseType-es_EC.standardValueSetTranslation,Dealer,Value commented/not found in translation file.
CaseType-es_EC.standardValueSetTranslation,Hughes Direct Dealer,Value commented/not found in translation file.
CaseType-es_EC.standardValueSetTranslation,Problem,Value commented/not found in translation file.
CaseType-es_EC.standardValueSetTranslation,Feature Request,Value commented/not found in translation file.
CaseType-es_EC.standardValueSetTranslation,Question,Value commented/not found in translation file.
CaseType-es_EC.standardValueSetTranslation,SP Truck Roll,Value commented/not found in translation file.
CaseType-es_EC.standardValueSetTranslation,NAP Truck Roll,Value commented/not found in translation file.
CaseType-es_EC.standardValueSetTranslation,Set Up,Value commented/not found in translation file.
CaseType-es_EC.standardValueSetTranslation,Education,Value commented/not found in translation file.
CaseType-es_EC.standardValueSetTranslation,Approvals,Value commented/not found in translation file.
CaseType-es_EC.standardValueSetTranslation,Forms,Value commented/not found in translation file.
