Translation File,API Name,Error
CaseType-es_PA.standardValueSetTranslation,Distributor,Value commented/not found in translation file.
CaseType-es_PA.standardValueSetTranslation,Dealer,Value commented/not found in translation file.
CaseType-es_PA.standardValueSetTranslation,Hughes Direct Dealer,Value commented/not found in translation file.
CaseType-es_PA.standardValueSetTranslation,Problem,Value commented/not found in translation file.
CaseType-es_PA.standardValueSetTranslation,Feature Request,Value commented/not found in translation file.
CaseType-es_PA.standardValueSetTranslation,Question,Value commented/not found in translation file.
CaseType-es_PA.standardValueSetTranslation,SP Truck Roll,Value commented/not found in translation file.
CaseType-es_PA.standardValueSetTranslation,NAP Truck Roll,Value commented/not found in translation file.
CaseType-es_PA.standardValueSetTranslation,Set Up,Value commented/not found in translation file.
CaseType-es_PA.standardValueSetTranslation,Education,Value commented/not found in translation file.
CaseType-es_PA.standardValueSetTranslation,Approvals,Value commented/not found in translation file.
CaseType-es_PA.standardValueSetTranslation,Forms,Value commented/not found in translation file.
